trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-151.07921313398546,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-111.72086596747592,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-189.05031780693068,"{0: 20, 1: 1, 2: 3, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-31.662386257671635,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-61.02273122225141,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,10,-70.03914314387062,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-66.84035840341829,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-77.80299983406655,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-166.21869983907834,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,1,-72.14067967439527,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-179.1336578809173,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-134.1422019191456,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-69.3192461812838,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-66.92678171366128,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,8,-54.794558039576145,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,-9.512284289868411,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-89.23283618328425,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,-55.077061102766365,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,8.27515635488013,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,5.239423920962216,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,4,2.621587782019576,"{0: 23, 1: 2, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,4,-37.48278548610344,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,3,-52.006292917363204,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",35,18,11.002672869142904,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,12.731100746081314,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,0,-64.46914176283124,"{0: 31, 1: 0, 2: 1, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,15.424637177465343,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,2,30.20289804484526,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,9.732453282552179,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,2,13.538420377286574,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
