trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.998, 'e': 0.998}",25,0,-91.02276561092305,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.996004, 'e': 0.996004}",20,3,-76.36197784676882,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.994011992, 'e': 0.994011992}",20,0,-150.3288254334682,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.992023968016, 'e': 0.992023968016}",35,0,-112.44533190548199,"{0: 26, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.990039920079968, 'e': 0.990039920079968}",20,0,-95.8593416712802,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.9880598402398081, 'e': 0.9880598402398081}",25,0,-149.93728101038127,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.9860837205593285, 'e': 0.9860837205593285}",30,0,-113.7084294521596,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
8,False,"{'a': 0.9841115531182097, 'e': 0.9841115531182097}",30,0,-139.74134227736437,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.9821433300119734, 'e': 0.9821433300119734}",25,0,-69.59535607030651,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.9801790433519494, 'e': 0.9801790433519494}",25,0,-189.26622903795715,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
11,False,"{'a': 0.9782186852652455, 'e': 0.9782186852652455}",20,0,-49.57408786131896,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.976262247894715, 'e': 0.976262247894715}",25,0,-59.15648748714143,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.9743097233989256, 'e': 0.9743097233989256}",20,0,-155.20918109094268,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.9723611039521277, 'e': 0.9723611039521277}",20,0,-79.94540224341839,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.9704163817442235, 'e': 0.9704163817442235}",30,0,-161.67009196471886,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
16,False,"{'a': 0.9684755489807351, 'e': 0.9684755489807351}",25,0,-53.8159143044015,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.9665385978827735, 'e': 0.9665385978827735}",25,0,-199.57547520458758,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
