trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.1129398130897,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.46280467453161,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.33877797330723,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.84159328392775,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.34480294854609,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.82192333377373,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.62339131891001,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.7429012196296,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.823148531532446,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.83620218556428,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.07914893484,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-221.65991338079004,"{0: 18, 1: 5, 2: 7, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.95418277043393,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.77247555622012,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,10,-49.00751620786107,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.67420815206843,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.3217859817267,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.89909304135846,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.71288465325992,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.94314465073921,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.81787356996017,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-149.0572837298617,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.30274656563513,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.77493004551772,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-239.62191715399916,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.7664452783002,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.49047893616014,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.8104179952591,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.82066742655714,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.33950818630447,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
